Year,Age,Ethnic,Sex,Area,count
2018,000,1,1,01,795
2018,000,1,1,02,5067
2018,000,1,1,03,2229
2018,000,1,1,04,1356
2018,000,1,1,05,180
2018,000,1,1,06,738
2018,000,1,1,07,630
2018,000,1,1,08,1188
2018,000,1,1,09,2157
2018,000,1,1,12,177
2018,000,1,1,13,2823
2018,000,1,1,14,1020
2018,000,1,1,15,516
2018,000,1,1,16,222
2018,000,1,1,17,219
2018,000,1,1,18,234
2018,000,1,1,99,..C
2018,000,1,1,9999,19563
2018,000,1,1,77,19557
2018,000,1,2,01,768
2018,000,1,2,02,4779
2018,000,1,2,03,2115
2018,000,1,2,04,1317
2018,000,1,2,05,174
2018,000,1,2,06,702
2018,000,1,2,07,582
2018,000,1,2,08,1119
2018,000,1,2,09,2109
2018,000,1,2,12,162
2018,000,1,2,13,2766
2018,000,1,2,14,948
2018,000,1,2,15,510
2018,000,1,2,16,192
2018,000,1,2,17,204
2018,000,1,2,18,210
2018,000,1,2,99,..C
2018,000,1,2,9999,18669
2018,000,1,2,77,18666
2018,000,1,9,01,1563
2018,000,1,9,02,9849
2018,000,1,9,03,4347
2018,000,1,9,04,2676
2018,000,1,9,05,357
2018,000,1,9,06,1440
2018,000,1,9,07,1212
2018,000,1,9,08,2307
2018,000,1,9,09,4269
2018,000,1,9,12,339
2018,000,1,9,13,5589
2018,000,1,9,14,1971
2018,000,1,9,15,1023
2018,000,1,9,16,417
2018,000,1,9,17,423
2018,000,1,9,18,444
2018,000,1,9,99,6
2018,000,1,9,9999,38232
2018,000,1,9,77,38226
2018,000,2,1,01,651
2018,000,2,1,02,1902
2018,000,2,1,03,1236
2018,000,2,1,04,912
2018,000,2,1,05,240
2018,000,2,1,06,477
2018,000,2,1,07,240
2018,000,2,1,08,624
2018,000,2,1,09,726
2018,000,2,1,12,48
2018,000,2,1,13,654
2018,000,2,1,14,201
2018,000,2,1,15,168
2018,000,2,1,16,45
2018,000,2,1,17,75
2018,000,2,1,18,69
2018,000,2,1,99,..C
2018,000,2,1,9999,8265
2018,000,2,1,77,8265
2018,000,2,2,01,645
2018,000,2,2,02,1836
2018,000,2,2,03,1164
2018,000,2,2,04,936
2018,000,2,2,05,237
2018,000,2,2,06,462
2018,000,2,2,07,228
2018,000,2,2,08,573
2018,000,2,2,09,711
2018,000,2,2,12,42
2018,000,2,2,13,630
2018,000,2,2,14,189
2018,000,2,2,15,159
2018,000,2,2,16,45
2018,000,2,2,17,51
2018,000,2,2,18,69
2018,000,2,2,99,..C
2018,000,2,2,9999,7983